nrdax_id,name,registry_family,assigned_resource_class,chains
NRDAX-T0001,addr-message-counter-overflow-crash,gossip_abuse,M5,litecoin
NRDAX-T0005,array-deserialization-memcpy-corruption,compute_amp,M5,monero
NRDAX-T0006,async-runtime-blocking-vm-execution,compute_amp,M2,ethereum|iota|solana|sui
NRDAX-T0013,bloom-filter-divide-by-zero-crash,compute_amp,M5,bitcoin
NRDAX-T0023,coalesced-packet-buffer-leak,memory_amp,M1,quic
NRDAX-T0024,compact-block-fillblock-duplicate-crash,consensus_abuse,M5,bitcoin
NRDAX-T0025,compact-block-size-integer-overflow,memory_amp,M1,bitcoin
NRDAX-T0038,count-underflow-header-serving-amplification,memory_amp,MIX,ethereum
NRDAX-T0041,cross-chain-peer-pool-pollution,connection_exhaustion,M3,ethereum
NRDAX-T0042,crypto-frame-reassembly-buffer-exhaustion,memory_amp,M1,quic
NRDAX-T0046,decompression-bomb-resource-exhaustion,memory_amp,M1,quic
NRDAX-T0050,dht-sybil-content-censorship,gossip_abuse,OOS,ipfs
NRDAX-T0056,duplicate-input-validation-bypass-crash,consensus_abuse,M5,bitcoin
NRDAX-T0059,duplicate-transport-parameter-memory-leak,memory_amp,M1,quic
NRDAX-T0061,duplicate-tx-mempool-index-desync,memory_amp,M1,cosmos
NRDAX-T0064,endpoint-concurrency-cap-exhaustion,connection_exhaustion,M3,cosmos|http2|ic|iota|kaspa
NRDAX-T0071,ethash-verification-memory-exhaustion,memory_amp,M1,ethereum
NRDAX-T0076,expensive-debug-rpc-compute-amplification,compute_amp,M2,ethereum
NRDAX-T0088,getdata-request-flood,connection_exhaustion,MIX,bitcoin
NRDAX-T0095,graphql-alias-query-amplification,memory_amp,MIX,ethereum
NRDAX-T0097,grpc-h2-multiplexing-oom,memory_amp,M1,iota
NRDAX-T0099,half-open-handshake-slowloris,connection_exhaustion,MIX,ic|iota|near|solana|xrp
NRDAX-T0100,handshake-crypto-cpu-burn,connection_exhaustion,M2,bnb-smart-chain|celestia|ethereum-consensus-layer|filecoin|optimism|polkadot-substrate|polygon-pos|solana|sonic-fantom
NRDAX-T0101,handshake-crypto-validation-bypass-crash,compute_amp,M5,ethereum
NRDAX-T0106,header-length-preallocation-oom,memory_amp,M1,bitcoin|libp2p|monero|zcash
NRDAX-T0112,http2-rapid-reset-stream-exhaustion,memory_amp,M1,polkadot|walrus
NRDAX-T0120,integer-overflow-panic-control-message,gossip_abuse,M5,libp2p
NRDAX-T0122,integer-signedness-index-oob-crash,compute_amp,M5,conflux|cosmos|ethereum
NRDAX-T0124,inv-flood-getheaders-amplification,memory_amp,M4,bitcoin
NRDAX-T0129,invalid-curve-point-panic,compute_amp,M5,zcash
NRDAX-T0131,invalid-message-log-flood,memory_amp,M1,bitcoin
NRDAX-T0139,legacy-sighash-quadratic-cpu-blowup,compute_amp,M2,bitcoin|namada
NRDAX-T0142,malformed-bytecode-index-panic,rpc_handler_cpu,M5,sui
NRDAX-T0143,malformed-field-gossip-before-validation,consensus_abuse,M2,cosmos
NRDAX-T0145,malformed-http-body-crash,connection_exhaustion,M5,zcash
NRDAX-T0148,malformed-kzg-proof-mismatch-dos,compute_amp,M2,ethereum
NRDAX-T0156,mempool-pending-eviction-flood,memory_amp,M1,ethereum
NRDAX-T0165,missing-zero-guard-divide-by-zero-halt,consensus_abuse,M5,cosmos
NRDAX-T0166,move-verifier-fixpoint-cpu-exhaustion,compute_amp,M2,sui
NRDAX-T0171,nil-node-dereference-panic,compute_amp,M5,ethereum
NRDAX-T0182,optimistic-ack-congestion-window-manipulation,memory_amp,M4,quic
NRDAX-T0184,orphan-tx-resolution-cpu-amplification,compute_amp,M2,litecoin
NRDAX-T0185,out-of-order-stream-reassembly-oom,memory_amp,M1,quic
NRDAX-T0187,oversized-block-response-flood,memory_amp,M1,cosmos
NRDAX-T0188,oversized-control-message-array-cpu-burn,gossip_abuse,M2,libp2p
NRDAX-T0192,oversized-transaction-block-fill,gossip_abuse,MIX,zcash
NRDAX-T0195,path-challenge-response-memory-exhaustion,memory_amp,M1,quic
NRDAX-T0196,path-migration-challenge-queue-exhaustion,memory_amp,M1,quic
NRDAX-T0198,peer-list-sort-cpu-amplification,compute_amp,M2,cardano|conflux
NRDAX-T0199,peer-record-flood-oom,gossip_abuse,M1,libp2p
NRDAX-T0202,peer-timestamp-skew-manipulation,consensus_abuse,OOS,bitcoin
NRDAX-T0203,ping-flood-pending-frame-oom,memory_amp,M1,libp2p
NRDAX-T0205,pre-handshake-crypto-cpu-burn,compute_amp,M2,bitcoin|casper|conflux|cosmos|icon|libp2p|polygon-pos|qtum|xrp
NRDAX-T0206,pre-handshake-packet-flood,connection_exhaustion,M2,ethereum
NRDAX-T0207,pre-verify-gossip-flood,consensus_abuse,M2,cosmos
NRDAX-T0211,premature-processing-index-out-of-range-panic,consensus_abuse,M5,cosmos
NRDAX-T0214,protocol-message-flood-unbounded-goroutine,connection_exhaustion,MIX,ethereum
NRDAX-T0225,quic-control-frame-flood,connection_exhaustion,M3,quic
NRDAX-T0246,rate-limit-key-confusion,connection_exhaustion,M6,ic
NRDAX-T0248,recursive-filter-expression-cpu-blowup,subscription_cpu_amp,M2,iota
NRDAX-T0249,recursive-message-deserialization-stack-overflow,compute_amp,M5,cosmos|sui
NRDAX-T0254,repair-protocol-legacy-request-stall,compute_amp,MIX,solana
NRDAX-T0261,rpc-request-flood,connection_exhaustion,MIX,ethereum|solana|sui
NRDAX-T0275,single-peer-block-discovery-stall,connection_exhaustion,OOS,bitcoin|zcash
NRDAX-T0280,spoofed-endpoint-proof-bypass-amplification,memory_amp,M4,ethereum
NRDAX-T0291,subscription-permit-exhaustion,connection_exhaustion,M3,cosmos|sui
NRDAX-T0292,sync-height-manipulation-stall,memory_amp,OOS,cosmos
NRDAX-T0295,sync-state-poisoning-via-fake-blocks,gossip_abuse,OOS,zcash
NRDAX-T0298,timestamp-integer-overflow-netsplit,consensus_abuse,OOS,bitcoin
NRDAX-T0307,transaction-malleability,consensus_abuse,OOS,bitcoin|zcash
NRDAX-T0312,tx-relay-throughput-jamming,gossip_abuse,OOS,bitcoin
NRDAX-T0317,unauthenticated-admin-interface-exposure,auth_bypass,OOS,ethereum|sui
NRDAX-T0320,unbounded-connection-flood,connection_exhaustion,M3,cosmos|ethereum|libp2p|monero|quic|solana|starknet
NRDAX-T0321,unbounded-connection-id-storage,memory_amp,M1,quic
NRDAX-T0326,unbounded-peer-slot-sybil,gossip_abuse,M3,bitcoin|ethereum
NRDAX-T0327,unbounded-registration-storage-exhaustion,memory_amp,M1,libp2p
NRDAX-T0328,unbounded-request-body-memory-exhaustion,compute_amp,M1,cardano|ethereum|ic|monero
NRDAX-T0329,unbounded-rpc-response-amplification,response_amp,M4,aptos|ethereum|iota|solana|sui|xrp|zcash
NRDAX-T0331,unbounded-stream-backpressure-oom,connection_exhaustion,MIX,libp2p
NRDAX-T0333,unbounded-subscription-flood,connection_exhaustion,M3,iota|libp2p
NRDAX-T0342,unindexed-account-scan-cpu-amplification,compute_amp,M2,solana|sui
